id_computeur,sum_counts,date,Column
100041488-101041488,4.0,2023-04-05T01:00:00+00:00,
100041488-101041488,85.0,2023-04-05T09:00:00+00:00,
100041488-101041488,162.0,2023-04-05T16:00:00+00:00,
100041488-101041488,92.0,2023-04-05T18:00:00+00:00,
100042374-110042374,1.0,2023-04-05T01:00:00+00:00,
100042374-110042374,0.0,2023-04-05T02:00:00+00:00,
100042374-110042374,0.0,2023-04-05T03:00:00+00:00,
100042374-110042374,7.0,2023-04-05T04:00:00+00:00,
100042374-110042374,26.0,2023-04-05T05:00:00+00:00,
100042374-110042374,139.0,2023-04-05T06:00:00+00:00,
100042374-110042374,177.0,2023-04-05T07:00:00+00:00,
100042374-110042374,45.0,2023-04-05T11:00:00+00:00,
100042374-110042374,260.0,2023-04-05T17:00:00+00:00,
100042374-109042374,125.0,2023-04-05T05:00:00+00:00,
100042374-109042374,562.0,2023-04-05T06:00:00+00:00,
100042374-109042374,78.0,2023-04-05T09:00:00+00:00,
100042374-109042374,58.0,2023-04-05T12:00:00+00:00,
100042374-109042374,59.0,2023-04-05T13:00:00+00:00,
100042374-109042374,56.0,2023-04-05T19:00:00+00:00,
100042374-109042374,4.0,2023-04-05T23:00:00+00:00,
100041488-101041488,2.0,2022-12-25T01:00:00+00:00,
100041488-101041488,4.0,2022-12-25T04:00:00+00:00,
100041488-101041488,4.0,2022-12-25T06:00:00+00:00,
100041488-101041488,6.0,2022-12-25T07:00:00+00:00,
100041488-101041488,7.0,2022-12-25T09:00:00+00:00,
100041488-101041488,21.0,2022-12-25T10:00:00+00:00,
100041488-101041488,22.0,2022-12-25T13:00:00+00:00,
100041488-101041488,25.0,2022-12-25T14:00:00+00:00,
100041488-101041488,23.0,2022-12-25T16:00:00+00:00,
100041488-101041488,26.0,2022-12-25T18:00:00+00:00,
100042374-110042374,1.0,2022-12-25T01:00:00+00:00,
100042374-110042374,2.0,2022-12-25T02:00:00+00:00,
100042374-110042374,0.0,2022-12-25T04:00:00+00:00,
100042374-110042374,4.0,2022-12-25T07:00:00+00:00,
100042374-110042374,1.0,2022-12-25T08:00:00+00:00,
100042374-110042374,4.0,2022-12-25T09:00:00+00:00,
100042374-110042374,13.0,2022-12-25T12:00:00+00:00,
100042374-110042374,11.0,2022-12-25T13:00:00+00:00,
100042374-110042374,16.0,2022-12-25T16:00:00+00:00,
100042374-110042374,7.0,2022-12-25T18:00:00+00:00,
100041488-101041488,22.0,2023-07-14T00:00:00+00:00,
100041488-101041488,15.0,2023-07-14T02:00:00+00:00,
100041488-101041488,45.0,2023-07-14T06:00:00+00:00,
100041488-101041488,60.0,2023-07-14T09:00:00+00:00,
100041488-101041488,70.0,2023-07-14T10:00:00+00:00,
100041488-101041488,70.0,2023-07-14T13:00:00+00:00,
100041488-101041488,66.0,2023-07-14T14:00:00+00:00,
100041488-101041488,44.0,2023-07-14T20:00:00+00:00,
100042374-110042374,19.0,2023-07-14T15:00:00+00:00,
100042374-110042374,64.0,2023-07-14T21:00:00+00:00,
100042374-110042374,38.0,2023-07-14T22:00:00+00:00,
100042374-109042374,8.0,2023-07-14T02:00:00+00:00,
100042374-109042374,45.0,2023-07-14T06:00:00+00:00,
100042374-109042374,100.0,2023-07-14T13:00:00+00:00,
100042374-109042374,89.0,2023-07-14T15:00:00+00:00,
100042374-109042374,70.0,2023-07-14T18:00:00+00:00,
100042374-109042374,82.0,2023-07-14T19:00:00+00:00,
100042374-109042374,11.0,2023-07-14T21:00:00+00:00,
100042374-109042374,25.0,2023-07-14T22:00:00+00:00,
100041488-101041488,15.0,2023-07-14T03:00:00+00:00,
100003096-353242251,341.0,2023-04-05T06:00:00+00:00,
100003096-353242251,266.0,2023-04-05T07:00:00+00:00,
100003096-353242251,134.0,2023-04-05T08:00:00+00:00,
100003096-353242251,80.0,2023-04-05T09:00:00+00:00,
100003096-353242251,82.0,2023-04-05T10:00:00+00:00,
100003096-353242251,114.0,2023-04-05T11:00:00+00:00,
100003096-353242251,79.0,2023-04-05T12:00:00+00:00,
100003096-353242251,69.0,2023-04-05T18:00:00+00:00,
100003096-353242251,22.0,2023-04-05T21:00:00+00:00,
100003096-353242251,0.0,2023-04-05T22:00:00+00:00,
100003098-101003098,10.0,2023-04-05T00:00:00+00:00,
100003098-101003098,6.0,2023-04-05T03:00:00+00:00,
100003098-101003098,70.0,2023-04-05T09:00:00+00:00,
100003098-101003098,96.0,2023-04-05T11:00:00+00:00,
100003098-101003098,79.0,2023-04-05T12:00:00+00:00,
100003098-101003098,257.0,2023-04-05T17:00:00+00:00,
100003098-101003098,71.0,2023-04-05T22:00:00+00:00,
100006300-101006300,4.0,2023-04-05T00:00:00+00:00,
100006300-101006300,22.0,2023-04-05T04:00:00+00:00,
100006300-101006300,117.0,2023-04-05T10:00:00+00:00,
100003096-353242251,9.0,2022-12-25T00:00:00+00:00,
100003096-353242251,0.0,2022-12-25T03:00:00+00:00,
100003096-353242251,2.0,2022-12-25T07:00:00+00:00,
100003096-353242251,6.0,2022-12-25T08:00:00+00:00,
100003096-353242251,29.0,2022-12-25T15:00:00+00:00,
100003096-353242251,12.0,2022-12-25T17:00:00+00:00,
100003098-101003098,3.0,2022-12-25T02:00:00+00:00,
100003098-101003098,1.0,2022-12-25T03:00:00+00:00,
100003098-101003098,6.0,2022-12-25T04:00:00+00:00,
100003098-101003098,2.0,2022-12-25T07:00:00+00:00,
100003098-101003098,7.0,2022-12-25T09:00:00+00:00,
100003098-101003098,10.0,2022-12-25T10:00:00+00:00,
100003098-101003098,14.0,2022-12-25T15:00:00+00:00,
100003098-101003098,32.0,2022-12-25T16:00:00+00:00,
100003098-101003098,38.0,2022-12-25T17:00:00+00:00,
100003098-101003098,23.0,2022-12-25T19:00:00+00:00,
100003096-353242251,20.0,2023-07-14T00:00:00+00:00,
100003096-353242251,5.0,2023-07-14T02:00:00+00:00,
100003096-353242251,7.0,2023-07-14T05:00:00+00:00,
100003096-353242251,35.0,2023-07-14T06:00:00+00:00,
100003096-353242251,67.0,2023-07-14T10:00:00+00:00,
100003096-353242251,71.0,2023-07-14T15:00:00+00:00,
100003096-353242251,79.0,2023-07-14T16:00:00+00:00,
100003098-101003098,33.0,2023-07-14T02:00:00+00:00,
100003098-101003098,25.0,2023-07-14T04:00:00+00:00,
100003098-101003098,8.0,2023-07-14T06:00:00+00:00,
100003098-101003098,40.0,2023-07-14T10:00:00+00:00,
100003098-101003098,39.0,2023-07-14T11:00:00+00:00,
100003098-101003098,65.0,2023-07-14T12:00:00+00:00,
100003098-101003098,60.0,2023-07-14T13:00:00+00:00,
100003098-101003098,99.0,2023-07-14T17:00:00+00:00,
100003098-101003098,78.0,2023-07-14T21:00:00+00:00,
100006300-101006300,8.0,2023-07-14T01:00:00+00:00,
100006300-101006300,8.0,2023-07-14T02:00:00+00:00,
100006300-101006300,27.0,2023-07-14T05:00:00+00:00,
100006300-101006300,95.0,2023-07-14T09:00:00+00:00,
100007049-102007049,0.0,2023-04-05T00:00:00+00:00,
100007049-102007049,2.0,2023-04-05T02:00:00+00:00,
100007049-102007049,27.0,2023-04-05T09:00:00+00:00,
100007049-102007049,13.0,2023-04-05T19:00:00+00:00,
100007049-102007049,4.0,2023-04-05T23:00:00+00:00,
100007049-101007049,4.0,2023-04-05T00:00:00+00:00,
100007049-101007049,4.0,2023-04-05T01:00:00+00:00,
100007049-101007049,21.0,2023-04-05T05:00:00+00:00,
100007049-101007049,84.0,2023-04-05T06:00:00+00:00,
100007049-101007049,31.0,2023-04-05T08:00:00+00:00,
100007049-101007049,37.0,2023-04-05T09:00:00+00:00,
100007049-101007049,115.0,2023-04-05T15:00:00+00:00,
100007049-101007049,168.0,2023-04-05T17:00:00+00:00,
100007049-101007049,82.0,2023-04-05T18:00:00+00:00,
100036718-103036718,3.0,2023-04-05T02:00:00+00:00,
100036718-103036718,11.0,2023-04-05T03:00:00+00:00,
100036718-103036718,94.0,2023-04-05T05:00:00+00:00,
100036718-103036718,108.0,2023-04-05T10:00:00+00:00,
100036718-103036718,97.0,2023-04-05T11:00:00+00:00,
100036718-103036718,115.0,2023-04-05T14:00:00+00:00,
100007049-102007049,9.0,2022-12-25T00:00:00+00:00,
100007049-102007049,12.0,2022-12-25T01:00:00+00:00,
100007049-102007049,0.0,2022-12-25T02:00:00+00:00,
100007049-102007049,6.0,2022-12-25T08:00:00+00:00,
100007049-102007049,7.0,2022-12-25T09:00:00+00:00,
100007049-102007049,6.0,2022-12-25T13:00:00+00:00,
100007049-101007049,4.0,2022-12-25T02:00:00+00:00,
100007049-101007049,12.0,2022-12-25T16:00:00+00:00,
100007049-101007049,7.0,2022-12-25T23:00:00+00:00,
100036718-103036718,8.0,2022-12-25T08:00:00+00:00,
100036718-103036718,8.0,2022-12-25T09:00:00+00:00,
100036718-103036718,15.0,2022-12-25T10:00:00+00:00,
100036718-103036718,12.0,2022-12-25T11:00:00+00:00,
100036718-103036718,9.0,2022-12-25T19:00:00+00:00,
100007049-102007049,0.0,2022-12-25T03:00:00+00:00,
100007049-102007049,8.0,2022-12-25T06:00:00+00:00,
100007049-102007049,24.0,2022-12-25T15:00:00+00:00,
100007049-102007049,16.0,2022-12-25T17:00:00+00:00,
100007049-102007049,16.0,2022-12-25T18:00:00+00:00,
100007049-102007049,11.0,2022-12-25T19:00:00+00:00,
100007049-102007049,4.0,2023-07-14T02:00:00+00:00,
100007049-102007049,7.0,2023-07-14T06:00:00+00:00,
100007049-102007049,8.0,2023-07-14T08:00:00+00:00,
100007049-102007049,13.0,2023-07-14T09:00:00+00:00,
100007049-102007049,24.0,2023-07-14T10:00:00+00:00,
100007049-102007049,16.0,2023-07-14T15:00:00+00:00,
100007049-102007049,25.0,2023-07-14T16:00:00+00:00,
100007049-102007049,24.0,2023-07-14T17:00:00+00:00,
100007049-101007049,28.0,2023-07-14T00:00:00+00:00,
100007049-101007049,11.0,2023-07-14T01:00:00+00:00,
100007049-101007049,13.0,2023-07-14T05:00:00+00:00,
100007049-101007049,19.0,2023-07-14T08:00:00+00:00,
100007049-101007049,41.0,2023-07-14T10:00:00+00:00,
100007049-101007049,41.0,2023-07-14T12:00:00+00:00,
100007049-101007049,34.0,2023-07-14T15:00:00+00:00,
100007049-101007049,47.0,2023-07-14T16:00:00+00:00,
100007049-101007049,53.0,2023-07-14T22:00:00+00:00,
100007049-101007049,37.0,2023-07-14T23:00:00+00:00,
100036718-104036718,228.0,2023-04-05T06:00:00+00:00,
100036718-104036718,159.0,2023-04-05T15:00:00+00:00,
100036718-104036718,34.0,2023-04-05T22:00:00+00:00,
100036719-104036719,1.0,2023-04-05T03:00:00+00:00,
100036719-104036719,44.0,2023-04-05T10:00:00+00:00,
100036719-104036719,45.0,2023-04-05T12:00:00+00:00,
100036719-104036719,36.0,2023-04-05T13:00:00+00:00,
100036719-104036719,114.0,2023-04-05T17:00:00+00:00,
100036719-104036719,33.0,2023-04-05T19:00:00+00:00,
100036719-104036719,25.0,2023-04-05T20:00:00+00:00,
100036719-104036719,22.0,2023-04-05T21:00:00+00:00,
100036719-104036719,18.0,2023-04-05T22:00:00+00:00,
100036719-103036719,2.0,2023-04-05T02:00:00+00:00,
100036719-103036719,5.0,2023-04-05T03:00:00+00:00,
100036719-103036719,35.0,2023-04-05T05:00:00+00:00,
100036719-103036719,98.0,2023-04-05T06:00:00+00:00,
100036719-103036719,52.0,2023-04-05T09:00:00+00:00,
100036719-103036719,65.0,2023-04-05T11:00:00+00:00,
100036719-103036719,67.0,2023-04-05T13:00:00+00:00,
100036719-103036719,52.0,2023-04-05T14:00:00+00:00,
100036718-104036718,15.0,2022-12-25T11:00:00+00:00,
100036718-104036718,15.0,2022-12-25T12:00:00+00:00,
100036718-104036718,9.0,2022-12-25T13:00:00+00:00,
100036718-104036718,18.0,2022-12-25T15:00:00+00:00,
100036718-104036718,22.0,2022-12-25T16:00:00+00:00,
100036718-104036718,12.0,2022-12-25T18:00:00+00:00,
100036718-104036718,5.0,2022-12-25T22:00:00+00:00,
100036719-104036719,2.0,2022-12-25T02:00:00+00:00,
100036719-104036719,6.0,2022-12-25T10:00:00+00:00,
100036719-104036719,2.0,2022-12-25T12:00:00+00:00,
100036719-104036719,3.0,2022-12-25T22:00:00+00:00,
100036719-103036719,1.0,2022-12-25T01:00:00+00:00,
100036719-103036719,2.0,2022-12-25T02:00:00+00:00,
100036719-103036719,2.0,2022-12-25T05:00:00+00:00,
100036719-103036719,0.0,2022-12-25T06:00:00+00:00,
100036719-103036719,4.0,2022-12-25T07:00:00+00:00,
100036719-103036719,14.0,2022-12-25T11:00:00+00:00,
100036719-103036719,17.0,2022-12-25T14:00:00+00:00,
100036719-103036719,25.0,2022-12-25T16:00:00+00:00,
100036719-103036719,5.0,2022-12-25T21:00:00+00:00,
100036718-104036718,28.0,2023-07-14T00:00:00+00:00,
100036718-104036718,14.0,2023-07-14T03:00:00+00:00,
100036718-104036718,12.0,2023-07-14T04:00:00+00:00,
100036718-104036718,7.0,2023-07-14T05:00:00+00:00,
100036718-104036718,26.0,2023-07-14T06:00:00+00:00,
100036718-104036718,23.0,2023-07-14T07:00:00+00:00,
100036718-104036718,77.0,2023-07-14T15:00:00+00:00,
100036718-104036718,67.0,2023-07-14T18:00:00+00:00,
100036718-104036718,62.0,2023-07-14T19:00:00+00:00,
100036718-104036718,46.0,2023-07-14T21:00:00+00:00,
100036718-104036718,72.0,2023-07-14T23:00:00+00:00,
100036719-104036719,15.0,2023-07-14T00:00:00+00:00,
100036719-104036719,3.0,2023-07-14T03:00:00+00:00,
100036719-104036719,4.0,2023-07-14T05:00:00+00:00,
100036719-104036719,12.0,2023-07-14T07:00:00+00:00,
100036719-104036719,15.0,2023-07-14T09:00:00+00:00,
100036719-104036719,60.0,2023-07-14T13:00:00+00:00,
100036719-104036719,52.0,2023-07-14T16:00:00+00:00,
100036719-104036719,50.0,2023-07-14T17:00:00+00:00,
100036719-104036719,35.0,2023-07-14T18:00:00+00:00,
