stationcode;name;capacity;coordonnees_geo
14034;Ouest - Château;23;48.83617286014242,2.319392143923804
5119;Jussieu - Guy de la Brosse;40;48.845665,2.355653
14104;Boyer-Barret - Raymond Losserand;23;48.83329880233322,2.3173383995890617
20113;Piat - Parc de Belleville;21;48.87195626635528,2.384981390278095
15017;Place Falguière;23;48.83629973941847,2.3104464635252953
92004;Nanterre - Université;20;48.901365,2.212693
19038;Lassus - Delouvain;20;48.8755044846,2.3890327325519
20118;Orteaux - Mouraud;24;48.85558642847872,2.408762907764669
11041;Square Saint-Ambroise;43;48.860934,2.375841
42703;Fontainebleau - Edmond Michelet;45;48.80956436844049,2.3626908659935
10114;Granges aux Belles - Hôpital Saint-Louis;60;48.874794994841274,2.366669436984963
17201;Porte Maillot - Perreire;0;48.878021154637,2.2842371277102
4013;Vieille du Temple - Francs Bourgeois;29;48.858256413365815,2.35821794718504
13114;Nationale - Marcel Duchamp;23;48.82463749337136,2.3678014799952507
14007;Ferrus - Saint-Jacques;34;48.8313878,2.3408563
3101;Porte Saint-Martin;34;48.86860172112996,2.35570102930069
19030;Melun - Jean Jaurès;28;48.8837796723475,2.376477420330048
18035;René Binet - Porte de Montmartre;37;48.89905109950848,2.3365534096956253
10039;Sambre et Meuse - Villette;25;48.874405666217,2.3738072379951
10152;Gare du Nord - Place de Valenciennes;25;48.879089,2.354235
33104;Square Edmond Pépin;30;48.883656206899,2.4033531546593
16009;Saint-Didier - Raymond Poincaré;17;48.86642312020962,2.285863497192411
21213;Vanne - Général de Gaulle;25;48.815007,2.328318
8020;Batignolles - Beudant;44;48.88216401466375,2.319852970540523
15023;La Motte-Picquet - Grenelle;34;48.84858321339195,2.299347817897797
17003;Jacques Kellner - Saint-Ouen;45;48.895809485802886,2.327897409164145
9114;Faubourg Poissonnière - Dunkerque;30;48.880883445404436,2.349934279918671
15022;Emile Zola - Fondary;42;48.847051143113745,2.2953405976295476
12026;Place Ginette Hamelin;51;48.837853,2.382064
27005;Gare du Stade;20;48.9312676,2.2603778
13010;Place d'Italie - Vincent Auriol;40;48.831481874467,2.3567550292319
22201;Henri Ravera - Gabriel Péri;30;48.79722273833844,2.302115857601166
22301;Chausson - Gabriel Péri;22;48.921891003481115,2.2952306270599365
15132;Bargue -  Dutot;21;48.837884,2.308876
16103;Traktir - Foch;22;48.872755334614,2.2915497802487
2003;Saint-Denis - Réaumur;32;48.8661116315789,2.3507790675507594
1102;Française - Etienne Marcel;37;48.864053304653766,2.347587011754513
21507;Gardenat-Lapostol - Velettes;20;48.87387,2.224185
14023;Adolphe Pinard - Victor Hugo;52;48.8236825874564,2.3077843710780144
14133;Froidevaux - Boulard;35;48.835147319625,2.3294411972165
4017;Place de l'Hôtel de Ville;14;48.8573314,2.351458
2016;Aboukir - Alexandrie;21;48.86868344444473,2.3502043269474897
12164;Stade Pershing;26;48.829107826857,2.4583535268903
1013;Place du Palais Royal;67;48.862382970647,2.3384822532535
19046;Porte de Pantin.;33;48.889199725577,2.3950181901455
18043;Clichy - Place Blanche;20;48.883601088297,2.3332237824798
13028;Gouthière - Poterne des Peupliers;33;48.820507,2.351342
19119;Edouard Pailleron - Bouret;27;48.880597694070524,2.3769494891166687
14005;René Coty - Place Denfert-Rochereau;36;48.833056477316,2.3329411447048
43004;Montreuil - République;25;48.85026349463687,2.4345204234123234
13055;M.- A. Lagroua Weill-Hallé -  F. Dolto;60;48.828595283857425,2.380220606266108
22014;Victor Hugo - Bineau;25;48.88758225888669,2.2783890366554265
19123;Metz - Marne;33;48.891163,2.3865705
15056;Place Balard;22;48.836395736424,2.2784192115068
34012;Bateliers - Quai de Seine;26;48.915817585516,2.3239533298594
13123;BNF - Bibliothèque Nationale de France;42;48.8350268238,2.3760157451034
13007;Le Brun - Gobelins;48;48.835092787824,2.3534681351338
6021;Beaux-Arts - Bonaparte;20;48.856451985395786,2.334851883351803
7004;Raspail - Varenne;18;48.853147816545,2.3263905197382
44017;Jules Guesde - Pont du Port à l'Anglais;30;48.79628807093802,2.417212128639221
17043;Belidor - Gouvion-Saint-Cyr;39;48.88022154052015,2.2854680567979813
11113;Richard Lenoir - Republique;58;48.8667175,2.3692541
19044;Grands Moulins de Pantin;50;48.89738369720229,2.3959985375404362
15104;Hôpital Européen Georges Pompidou;64;48.83769531916335,2.275374233722687
18046;Etienne Jodelle - Saint Ouen;33;48.88794016394694,2.326124420314341
21005;Hôtel de Ville de Boulogne Billancourt;26;48.83495885166784,2.2416803240776066
15133;Saint Lambert - Blomet;27;48.83659148147257,2.2930556908249855
21015;Nationale - Place Jules Guesde;23;48.82753962462998,2.2416052222251897
15034;Lakanal - Commerce;53;48.84442462786544,2.294059172272682
18009;Jean-François Lépine - Stephenson;22;48.88611466796807,2.356855627529275
32302;Chemin Vert - Fraternité;20;48.877141208359035,2.4461565166711807
9032;Mathurins - Auber;36;48.872988840744,2.3294984212276
20111;Villiers de l'Isle Adam - Pyrénées;20;48.867362,2.396222
43003;Hôpital Bégin;26;48.84571672113014,2.4272462725639348
32303;Gaston Roussel - Commune de Paris;30;48.89432034553156,2.432552274419542
21313;Guynemer - Séverine;26;48.83091743371036,2.2790706530213356
43402;Place de Verdun;40;48.8202823,2.473775
11115;Montreuil - Gonnet;24;48.850500564921,2.3890856287864
19115;Porte de la Villette;27;48.89835196548483,2.386150136590004
32010;Place aux Étoiles;40;48.91835629408464,2.3523425683379173
12032;Porte Dorée;36;48.8354337,2.4077132
6030;Assas - Vaugirard;35;48.848274111398,2.3292413726449
47005;Ecole Vétérinaire;36;48.81488859822486,2.4224362157778994
19127;Aubervilliers - Curial;23;48.89088305227546,2.3688579350709915
1120;Lavandieres Sainte Opportune - Rivoli;27;48.859279702476,2.3466217517853
14112;Méchain - Faubourg Saint-Jacques;16;48.83586772099485,2.33798034198275
32015;Gare RER de Saint-Denis;40;48.93554324248177,2.3471488058567047
12161;Diderot - Reuilly;44;48.847208456061,2.3861273378134
15107;Palais des Sports;22;48.833468517426,2.2858720645308
7016;Surcouf - Université;58;48.861273016278126,2.309453550914185
14006;Saint-Jacques - Tombe Issoire;23;48.833206330538864,2.3369108140468597
9015;Lamartine - Faubourg Montmartre;32;48.87661398289084,2.339765690267086
12033;François Truffaut - Saint Emilion;66;48.83372354344807,2.386601903271428
21009;Le Corbusier - Jean Jaurès;46;48.83780830557548,2.2408381104469304
22403;Pierre Brossolette - Adolphe Pinard;24;48.82177227954821,2.313155829906464
17029;Pierre Demours - Laugier;37;48.8813072,2.294846
23902;Gallieni - Lycée Charles Petitet;0;48.927640283627,2.3308986340524
18027;Damrémont - Ordener;30;48.893400392981874,2.336266523912805
4001;Arcole - Notre-Dame;31;48.85388354132773,2.3493797332048416
4002;Marché aux fleurs;23;48.855258115391,2.3473754525185
42209;Place de l'Europe - Quai de Bercy;17;48.82529858840266,2.3945679143071175
43010;La Jarry - Place Diderot;25;48.849726940367326,2.452013790607453
6027;Blaise-Desgoffe - Vaugirard;32;48.846128877747,2.3242672160268
5115;Buffon - Jardin des Plantes;30;48.842668466104875,2.3618587106466293
33014;Parc Eli Lotar;20;48.91844993053703,2.3727085813879967
16105;Crevaux - Bugeaud;31;48.870809428669546,2.281149007691853
48004;Maxime Gorki - Louis Aragon;20;48.78909814728443,2.368387877941132
16042;Murat - Porte de Saint-Cloud;38;48.83750862621299,2.2577651962637906
47003;Charentonneau - Maisons Alfort;20;48.809932980484355,2.443288456496946
20029;Frères Flavien - Porte des Lilas;23;48.8780992764359,2.41104629853209
3009;Temple - Haudriettes;19;48.861636880211584,2.356696020645806
3003;Fille du Calvaire - Turenne;29;48.86210505412563,2.3649600148200993
16044;Porte de Saint Cloud - Parc des Princes;32;48.83866275706582,2.2525164484977727
2008;Mairie du 2ème;28;48.8672190355135,2.3404625437747044
12157;Fabre d'Eglantine - Place de la Nation;68;48.8471116,2.3956204
2009;Filles Saint-Thomas - Place de la Bourse;58;48.868899890853,2.3397543845203
14201;Decrès - Alésia;30;48.832200060759,2.3139070151575
18112;Arthur Ranc - Hôpital Bichat;26;48.8978712500682,2.333521842956543
19118;Simon Bolivar - Henri Turot;22;48.876887,2.374454
17202;Mariotte - Batignolles;20;48.884571659595,2.321469503475
42024;Danielle Casanova - Ledru-Rollin;28;48.815783497876815,2.383259721100331
25007;Bons Raisins - Voltaire;24;48.87282451461399,2.1947155570850896
11111;Léon Frot - Charonne;19;48.854963800335234,2.387217085372007
20020;Pyrénées - Charles Renouvier;29;48.86095933229224,2.400421852042113
20110;Gambetta - Tourelles;20;48.875337902264,2.4059921130538
15045;Porte de la Plaine;35;48.82805169605981,2.2924277186393742
6028;Quatre Vents - Carrefour de l'Odéon;37;48.851751374458864,2.338161695134053
16023;Passy - Place du Costa Rica;33;48.8584893,2.2839655
13037;Ivry - Baudricourt;20;48.824695995415006,2.363106073577468
16104;Paul Valery - Victor Hugo;35;48.87137406080164,2.2887128591537476
12105;Bercy - Villot;34;48.841795009027,2.3767850184816
11201;Faubourg St-Antoine - Place de la Nation;16;48.8487726,2.393606
11025;Froment - Bréguet;43;48.8570414504784,2.37289470306807
6029;Vaugirard - Monsieur le Prince;26;48.848951441614,2.3411329463124
7025;Octave Gréard - Tour Eiffel;33;48.856502977696,2.2931787543289
9028;Moncey - Blanche;17;48.88006587474148,2.3310810327529907
11039;Richard Lenoir - Jean-Pierre Timbaud;36;48.86580427668637,2.369337074966926
17013;Legendre - Dulong;23;48.885325169402904,2.316423766314984
9021;Saint Georges - d'Aumale;23;48.87778639599673,2.337429821491241
12013;Montgallet - Reuilly;16;48.844291,2.3896481
14117;Gare Montparnasse - René Mouchotte;39;48.83920384329242,2.320883944630623
20132;Réunion - Avron;26;48.852566752033766,2.403928068708116
42707;Place Jean-Baptiste Clément;25;48.81240466867336,2.3617091774940495
16006;Lauriston - Copernic;19;48.86926,2.289918
10165;Gare de l'Est - Place du 11 Novembre 1918;40;48.876327,2.3585464
51003;Hôtel de Ville d'Argenteuil;30;48.946504,2.2496396
8051;Batignolles - Rome;15;48.881823370566806,2.3202589899301524
19039;Edouard Pailleron - Simon Bolivar;24;48.87979886049996,2.374839261174202
16032;Eglise d'Auteuil;21;48.84749841771691,2.26848387135299
17047;Courcelles - Pierre Demours;26;48.883769733273496,2.29858466343129
21703;Square du Carrefour de l'Insurrection;23;48.820864559770676,2.291113436222077
5121;Square René Viviani - Montebello;34;48.851904891406384,2.347842156887055
32004;Wilson - Landy;40;48.91516726221354,2.357633225619793
21114;Gustave Eiffel - Parc des Impressionnistes;30;48.90390619651018,2.2946908324956894
2101;Bachaumont - Montmartre;33;48.86617395079137,2.3449775576591496
13515;Auguste Blanqui - Glacière;60;48.831151602964354,2.3438221961259837
10004;Metz - Faubourg Saint-Denis;48;48.870893,2.353521
16115;Raffet - Montmorency;42;48.85258670812,2.2629252456151954
21219;Amaury Duval - Gabriel Péri;36;48.81718759671675,2.323841750621796
23003;Président Wilson - Baudin;28;48.89826887103676,2.2849336266517644
25001;Colmar - Victor Hugo;32;48.88652251096166,2.173960916697979
47001;Place de la Gare;46;48.80253358011283,2.4275037646293645
9102;Londres - Place d'Estienne d'Orves;25;48.876693805756986,2.3305362090468407
12005;Crozatier - Faubourg Saint-Antoine;42;48.850440013405,2.378901366211
10021;Marché Saint-Quentin;15;48.877356057652,2.3545114456374
6022;Marché Saint-Germain;21;48.85165625855281,2.335500307381153
11011;Richard Lenoir - Voltaire;25;48.86164273878,2.3727491497993
20105;Benoît Frachon - République;30;48.85230729014318,2.415605485439301
41203;Stalingrad - Rigollots;51;48.84997403844251,2.45557576417923
10033;Gare du Nord - Saint-Vincent de Paul;24;48.880955741648,2.3524305148385
10008;Cité Riverin - Château d'Eau;18;48.870702423554306,2.358739863900845
16036;Porte Molitor;60;48.84524763511433,2.2569015249609947
12015;Place de la Nation - Picpus;36;48.846821681548,2.4001130461693
9037;Parme - Clichy;24;48.88126642422664,2.328197093450571
8028;Arsène Houssaye - Champs-Elysées;29;48.873409276267,2.2977904602885
5122;Saint-Michel - Luxembourg;29;48.84501507626,2.3394941166043
1014;Rivoli - Musée du Louvre;24;48.86364636851945,2.33409583568573
1026;Place du Lieutenant Henri Karcher;30;48.863490871724466,2.3400671035051346
17106;Berthier - Porte de Clichy;24;48.894222687781,2.3125872006816
12166;Parc Floral du Bel Air;25;48.839285711865735,2.438560165464878
1008;Les Halles - Saint-Eustache;32;48.86362695901683,2.342623919248581
20140;Paganini - Davout;22;48.85135,2.412021
24004;Paix - Verdun;35;48.900504,2.261173
13006;Duméril - Jeanne d'Arc;40;48.83815160808658,2.357108449556404
25002;Hôtel de Ville de Rueil-Malmaison;20;48.878194,2.181724
6020;Place Saint-André des Arts;37;48.852886173881,2.3426544293761
34005;Adrien Lesesne - Docteur Bauer;30;48.90263867304635,2.348248063431511
11104;Charonne - Robert et Sonia Delaunay;20;48.855907555969,2.3925706744194
41301;Bois de Vincennes - Gare;50;48.836022242886884,2.4708339950830287
15047;Morillons - Dantzig;52;48.83310149953933,2.299380004405976
17032;Jean Oestreicher - Porte de Champerret;21;48.88655580065981,2.288640439510346
8016;Square Louis XVI;29;48.87320440102894,2.323658830743138
18011;Pajol - Place Herbert;39;48.8927825,2.3635598
15105;Fédération - Suffren;25;48.852828153442,2.2978776320815
19103;Manin - Carrières d'Amérique;20;48.88467214209463,2.3919698596000676
35002;Jean Jaurès - Presles;30;48.90713441498779,2.396005728053061
9116;Victoire - Chaussée d'Antin;24;48.875065791004396,2.3316738009452824
20134;Lieutenant Chauré - Etienne Marey;20;48.86746195408435,2.405970990657807
12024;Gare de Bercy;35;48.839794573906,2.3826066032052
20021;Indre - Prairies;38;48.86254398506782,2.403290458023548
20116;Haies - Réunion;22;48.85386896766491,2.402426162238911
12004;Traversière - Ledru-Rollin;34;48.850735824128805,2.375870111706245
45001;Hôtel de Ville de Champigny sur Marne;21;48.813810628405,2.5096759200096
13041;Porte d'Ivry;50;48.82176874759649,2.3688706755638127
18042;Place Pigalle;21;48.8827555,2.3361566
20019;Place du Maquis du Vercors;31;48.877321579493575,2.4083782732486725
15063;Convention - Saint-Charles;19;48.84315611111599,2.2831090539693832
11003;Keller - La Roquette;34;48.8555508,2.3752778
47002;Les Juilliottes;21;48.8043072,2.4437362
11107;Faidherbe - Dahomey;44;48.851358329771806,2.383823134795429
11110;Roquette - Folie Regnault;52;48.859246959155485,2.386553623578705
20002;Square de la rue Pixérécourt;15;48.8736824,2.3960278
9036;Athènes - Clichy;20;48.878113787876,2.32956021945824
31025;Paul Signac - Aristide Briand;35;48.86950262156371,2.4502260982990265
4003;Quai aux Fleurs - Pont Saint-Louis;21;48.85291595620935,2.352195717394352
21217;Louis Rolland - République;26;48.81710889740748,2.3193106434955717
16002;Pergolèse - Malakoff;38;48.87521088779225,2.2842781618237495
23010;Voltaire - Anatole France;27;48.891999360256904,2.284262739121914
11017;Charonne - Bureau;47;48.854176,2.396093
7017;La Motte-Picquet - La Tour Maubourg;40;48.856926701847,2.3096215831203
15011;Cambronne - Villa Croix Nivert;62;48.845847561366,2.3017574474216
5024;Place Monge;21;48.842761803051,2.3524079471827
9011;Geoffroy - Marie;20;48.873781940593325,2.344513876337893
21303;Jean Monnet - Iles;32;48.823393984057304,2.2497073194874866
13035;Choisy - Tolbiac;26;48.82591155587,2.3602393269539
14031;Didot - Place de Moro-Giafferi;22;48.8337,2.3215
33012;Landy - Heurtault;30;48.915096534520316,2.375951372087002
18039;Jardins d'Eole;20;48.8869703,2.3668488
14026;Plantes - Moulin Vert;45;48.83005755305626,2.3232302069664006
10032;Claude Vellefaux - Hôpital Saint-Louis;32;48.872859139003,2.3700717069851
12156;Niger - Soult;24;48.84369906369085,2.410361237220498
32013;Saint-Denis - Université;24;48.94563430946964,2.3638297989964485
21953;Gare de Bellevue;20;48.8192404685572,2.2295309230685234
12002;Lacuée - Lyon;16;48.849268481958,2.3704585433006
24006;Adolphe Lalyre - Armand Silvestre;40;48.90406266961591,2.273416221141815
15062;Convention - Lourmel;36;48.84205504165568,2.2859910875558853
33020;Waldeck Rochet - Germaine Tillon;31;48.91105960199651,2.3676301538944244
9039;Chaussée d'Antin - Haussmann;24;48.87243,2.33359
27001;Square Victor Basch;20;48.914304862261,2.2289156913757
1023;Saint-Honoré - Musée du Louvre;22;48.863443132848,2.3348781846405
13049;Vincent Auriol - Louise Weiss;22;48.834001935501,2.3703888058662
19114;Manin - Secrétan;20;48.8791665,2.3787959
8018;Saint-Augustin;31;48.8762009747008,2.319786250591278
21022;Dôme - République;25;48.832681,2.250257
9025;Taitbout - Châteaudun;39;48.876383969379,2.335356677933531
12008;Hector Malot - Daumesnil;54;48.84693552991762,2.3770876228809357
25004;Marcel Pourtout - Édouard Manet;24;48.87555620763429,2.1655967831611638
17006;Guy Môquet - Compoint;36;48.89213559044868,2.32321947813034
19007;Flandre - Ourcq;30;48.89260159189023,2.3790915682911873
21016;Point du Jour - Jean Jaurès;26;48.828753141436465,2.245911467014621
20033;Etienne Dolet - Place Maurice Chevalier;33;48.86798303359366,2.3851405311143026
17050;Batignolles - Abel Truchet;28;48.883103904582,2.3238347490884
12127;Tremblay - Lac des Minimes;48;48.834131261494,2.4547516554594
44010;8 Mai 1945 - 10 Juillet 1940;30;48.784567029674,2.3979035764933
15032;Félix Faure - Lourmel;58;48.83868901709515,2.2818081825971603
23205;Parc des Pierrettes;23;48.7973062,2.2909969
31301;Gare RER;30;48.896280181078,2.4581568985227
17010;Jonquière - Docteur Paul Brousse;40;48.894799816683985,2.318705212173216
18024;Clignancourt - Ordener;35;48.891457726153774,2.348636478060487
17044;Porte de Saint-Ouen - Bessières;42;48.89792240854517,2.32851451022192
20143;Ramponeau - Belleville;44;48.871031137596,2.379056852114
16138;Saint-Cloud - Hippodrome;30;48.85772148887421,2.2549109905958176
17008;Porte Pouchet-Bessières;23;48.8978765,2.3230632
10107;Gare du Nord - Hôpital Lariboisière;49;48.881949,2.352339
16039;Exelmans - Versailles;49;48.84097491091973,2.264390252530575
11002;Roquette - Thiéré;23;48.85507930579506,2.3733686318721463
11027;Saint-Ambroise - Parmentier;38;48.862147844548,2.3772348091006
18028;Championnet - Vauvenargues;33;48.89401874744574,2.3319872841238976
20115;Louis Lumière - Porte de Bagnolet;20;48.86431136000005,2.4105210229754443
22003;Beffroy;26;48.886591074487995,2.261394560337067
11105;Parmentier - République;50;48.8644954,2.3750124
19022;Marché Secrétan;26;48.88125496379482,2.373463287949562
23001;Paul Vaillant Couturier - Chaptal;39;48.893479576183,2.2775253653526
24002;Gare de Courbevoie;35;48.8993867,2.2506506
35019;Anatole France - Jean Lolive;28;48.8949922,2.4253764
10005;Petites Ecuries - Faubourg Poissonnière;17;48.87397217237368,2.348388757504776
8102;Lamennais - Washington;26;48.87352990026496,2.303444892168045
17027;Place du Maréchal Juin - Péreire;46;48.885263,2.298286
31016;Lucie Aubrac - Franklin;36;48.86223916006812,2.4435862898826604
31007;Paris - Désiré Préaux;49;48.85742876694898,2.4323049187660217
47006;Les Planètes;16;48.8099849920804,2.4580853059887886
10020;Chabrol - d'Hauteville;11;48.87701838803332,2.3513179644942284
12041;Bois de Vincennes.;60;48.8338064,2.4132221
18138;Ney - Charles Hermite;20;48.89874803977525,2.3645754531025887
7101;Raspail - Chomel;49;48.852233164303,2.3266580700874
1022;Danielle Casanova - Place Vendôme;37;48.86826649822326,2.3304839059710503
14125;Dareau - Broussais;24;48.8307758,2.3361804
20004;Commandant l'Herminier - Gallieni;17;48.847040552603,2.4160453677177
17001;Guy Môquet - Saint-Ouen;53;48.892777719023975,2.3270335793495183
35011;Honoré d'Estienne d'Ovres - Grilles;18;48.89056394743836,2.4064831843792427
13027;Mazagran - Pierre de Coubertin;15;48.816218640260445,2.344226874411106
21316;Cimetière d'Issy-les-Moulineaux;24;48.81769977392539,2.260931208729744
42304;Marc Sangnier - Division Leclerc;24;48.78599652305309,2.329955510795116
17033;Carnot - Général Lanrezac;30;48.875443870736,2.2938242935036
32011;Stade de France;44;48.919141953558054,2.362065576016903
44007;Camille Groult - Guy Môquet;22;48.787482746521306,2.3976725712418556
6008;Assas - Luxembourg;33;48.84373446877937,2.333428381875887
10105;Mazagran - Bonne Nouvelle;25;48.870047123655,2.3511248454452
35001;Jean Jaurès - Ouvrières Pivéreuses;20;48.91042343752563,2.399576604366303
13032;Italie - Jardin Joan Miro;26;48.81990914045756,2.3592948541045193
4020;Place Edmond Michelet;23;48.860134890542,2.3500636965036
35006;Delizy - Louis Nadot;22;48.896212845581346,2.4094578623771667
12018;Saint-Mandé - Fabre d'Eglantine;34;48.8453579,2.3965022
44005;Place Saint-Just;22;48.790379518724265,2.3895226791501045
9004;Gérando - Rochechouart;21;48.88294340845,2.3464846238494
15036;Croix Nivert - Square Saint-Lambert;47;48.8430515215905,2.295200452208519
42505;Charles Frérot - Albert Guilpin;30;48.8155839183714,2.3505029082298283
21110;Parc Roger Salengro;35;48.905303858642,2.31055945158
22306;Place du 17 Octobre;20;48.91962690034779,2.2978286134199792
22504;Château - République;20;48.905928,2.253629
9111;Victoire - Laffitte;20;48.87514373494672,2.338118505144376
1012;Jean-Jacques Rousseau - Deux Ecus;22;48.86297805972131,2.3414635285735126
13038;Choisy - Malmaisons;25;48.821919702956144,2.3633468834070914
32022;Henri Barbusse - Marcel Cachin;37;48.93742089281,2.3720374971659
1024;Coquillière - Louvre;21;48.86379590966231,2.3425736278295517
17020;Jouffroy d'Abbans - Malesherbes;27;48.8850134,2.3070717
45004;République - Louis Loucheur;37;48.823549261189,2.5101865455508
48001;Chastenet de Géry - Marcel Paul;25;48.800123,2.3567359
21002;Place Denfert-Rochereau;20;48.843252536286684,2.245987951755524
41103;Place de la vache noire;25;48.81040517059777,2.327060401439667
21027;Fief - République;25;48.83170888166024,2.255771979689598
41101;Paul Doumer - Stalingrad;24;48.806518992199,2.3368880152702
19018;Cité de la Musique;60;48.888796556487,2.3925811931922
22507;Châteaudun - Place de la Liberté;26;48.90970830301211,2.2454486480600626
12001;Bastille - Biscornet;62;48.851355779579,2.369220033288
26008;Henri Barbusse - Bourguignons;34;48.91301722799713,2.2734212270774417
42004;Westermeyer - Paul Vaillant-Couturier;25;48.819116181578764,2.3966637253761296
17038;Grande Armée - Brunel;62;48.876116,2.288124
92002;Théâtre des Amandiers - Palais des sports;23;48.892648526839,2.2136941552162
47007;Liberté - Vert-de-Maisons;20;48.790147809608,2.4328628182411
8053;Place Georges Guillaumin;29;48.874750203956566,2.301771435325988
33017;Anatole France - President Roosevelt;29;48.9155156,2.3814103
18031;Place Albert Kahn;0;48.89579697978,2.3455855841349
44006;Concorde - Stalingrad;35;48.7985844,2.3821302
19120;Carducci - Place Hannah Arendt;27;48.877436681515796,2.3860743641853337
10024;Buisson Saint-Louis - Saint-Maur;19;48.87174684930295,2.3722528328789854
15110;Place Robert Guillemard;24;48.836191728066666,2.2811267160086417
14136;Auguste Cain - Jean Moulin;40;48.82577028927573,2.3210415244102482
10014;Marseille - Beaurepaire;55;48.871624306962985,2.3639265082738348
46001;Place Paul Eluard;19;48.7672039733195,2.4144977331161503
21301;Saint-Vincent - Verdun;34;48.819211549234495,2.254007756710053
12009;Charenton - Diderot;18;48.846171461187,2.3793068155646
12027;Montgallet - Charenton;16;48.842647778701,2.3861649278137
7009;Assemblée Nationale;63;48.861411014652,2.3201214185208
22505;Mairie de La Garenne Colombes;22;48.90663823468682,2.24679596722126
13045;Jean Colly - Tolbiac;36;48.827817291597846,2.3705490678548813
21109;Guichet - Jean Jaurès;28;48.905169868129036,2.3023840785026555
8012;Batignolles - Place de Clichy;47;48.883474535757,2.326493114233
15038;Place Adolphe Cherioux - Vaugirard;63;48.83959442800459,2.3010657727718353
16021;François Ponsard - La Muette;23;48.8583666,2.2744515
21001;Transvaal - Charles de Gaulle;27;48.848280403628806,2.2373420120857195
8019;Naples - Rome;26;48.879960700846226,2.321358695626259
4110;Neuve Saint-Pierre - Beautreillis;20;48.85355351439652,2.3639122769236565
17022;Pereire - Place de Wagram;46;48.887070607581215,2.304111124531457
7020;Champ de Mars - Cler;41;48.856691550115315,2.306646779179573
23304;Mairie de Sceaux;33;48.778916905132,2.2887361764861
21311;Parvis Corentin Celton;55;48.82747252522725,2.2784319519996648
4011;Hôtel de Ville - Pont-Marie;36;48.85389964552738,2.356947250664234
17016;Brochant - Square des Batignolles;31;48.88818698581028,2.316861143151153
19031;Manin - Crimée;23;48.8831217743719,2.3863670602440834
31018;Gambetta - Michelet;33;48.85273792380526,2.429966032505036
2110;Jeûneurs - Mulhouse;28;48.868997,2.346925
20103;Le Vau - Maurice Bertaux;25;48.86803439043193,2.411030612453627
35008;Place de l'Eglise - Pantin;30;48.892809461520265,2.4124351143836975
21017;Place Marcel Sembat;56;48.83328865030686,2.2441747784614567
